# Selection, Index, Class, Score
0,5,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-25,1.79297e+02
1,2,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-122,3.25103e+01
2,3,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-15,3.17189e+01
3,1,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-109,2.40063e+01
4,7,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-81,1.94734e+01
5,4,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-23,1.72209e+01
6,0,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-0,1.46119e+01
7,6,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-48,1.24258e+01
