# Selection, Index, Class, Score
0,2,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-122,3.61465e+00
1,1,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-109,2.76831e+00
2,3,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-15,2.58842e+00
3,0,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-0,2.36285e+00
4,7,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-81,2.08370e+00
5,6,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-48,1.90647e+00
6,4,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-23,1.88149e+00
7,5,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-25,1.77467e+00
