system:index,01-2018 to 02-2018,01-2019 to 02-2019,01-2020 to 02-2020,02-2018 to 03-2018,02-2019 to 03-2019,02-2020 to 03-2020,03-2018 to 04-2018,03-2019 to 04-2019,03-2020 to 04-2020,04-2018 to 05-2018,04-2019 to 05-2019,04-2020 to 05-2020,05-2018 to 06-2018,05-2019 to 06-2019,05-2020 to 06-2020,06-2018 to 07-2018,06-2019 to 07-2019,06-2020 to 07-2020,07-2018 to 08-2018,07-2019 to 08-2019,07-2020 to 08-2020,08-2018 to 09-2018,08-2019 to 09-2019,08-2020 to 09-2020,09-2018 to 10-2018,09-2019 to 10-2019,09-2020 to 10-2020,10-2018 to 11-2018,10-2019 to 11-2019,10-2020 to 11-2020,11-2018 to 12-2018,11-2019 to 12-2019,11-2020 to 12-2020,12-2018 to 01-2019,12-2019 to 01-2020,12-2020 to 01-2021,date,.geo
10,0.042930446565151215,0.043684523552656174,0.05058152228593826,0.05977333337068558,0.05606357380747795,0.0580374076962471,0.057102955877780914,0.07765142619609833,0.08319800347089767,0.08760309964418411,0.08851587772369385,0.10415725409984589,0.07722309231758118,0.07783737033605576,0.0988379493355751,0.09648541361093521,0.09353334456682205,0.08788327127695084,,,0.13645467162132263,0.09758403897285461,0.13964608311653137,0.10515393316745758,0.11170065402984619,0.09697487205266953,0.04367940127849579,0.09735549241304398,0.11290048062801361,0.10832898318767548,0.06718031316995621,0.08990021049976349,0.08672888576984406,0.06653685867786407,0.06028369069099426,0.0544571615755558,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[78.43,17.42]}"
11,0.042930446565151215,0.043684523552656174,0.05058152228593826,0.05977333337068558,0.05606357380747795,0.0580374076962471,0.057102955877780914,0.07765142619609833,0.08319800347089767,0.08760309964418411,0.08851587772369385,0.10415725409984589,0.07722309231758118,0.07783737033605576,0.0988379493355751,0.09648541361093521,0.09353334456682205,0.08788327127695084,,,0.13645467162132263,0.09758403897285461,0.13964608311653137,0.10515393316745758,0.11170065402984619,0.09697487205266953,0.04367940127849579,0.09735549241304398,0.11290048062801361,0.10832898318767548,0.06718031316995621,0.08990021049976349,0.08672888576984406,0.06653685867786407,0.06028369069099426,0.0544571615755558,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[78.43,17.42]}"
12,0.16234393417835236,0.1637098342180252,0.08956475555896759,0.15796475112438202,0.15343064069747925,0.1497817039489746,0.15305757522583008,0.13236498832702637,0.15509377419948578,0.156185582280159,0.1303360015153885,0.15748578310012817,0.11153727024793625,0.17003285884857178,0.10581774264574051,0.2673419117927551,0.14169292151927948,0.17690356075763702,0.13412266969680786,0.11114035546779633,0.1899934709072113,0.13102595508098602,0.1695828139781952,0.07877245545387268,0.26468878984451294,0.20399722456932068,0.1707914024591446,0.11623496562242508,0.09622799605131149,0.2115900069475174,0.23786970973014832,0.21341978013515472,0.1957760900259018,0.12677887082099915,0.18692848086357117,0.176182821393013,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.15,22.12]}"
13,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
14,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
15,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
16,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
17,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
18,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
19,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
20,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
21,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Sunday, February 2, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
