# Selection, Index, Class, Score
0,2,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-122,1.30657e+01
1,5,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-25,8.06276e+00
2,1,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-109,5.97085e+00
3,0,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-0,4.92157e+00
4,7,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-81,2.48515e+00
5,3,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-15,2.48625e+00
6,4,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-23,1.75679e+00
7,6,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-48,1.54598e-01
