# Selection, Index, Class, Score
0,5,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-25,-3.55624e-02
1,2,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-122,-1.08172e-03
2,3,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-15,5.30731e-03
3,4,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-23,9.50100e-03
4,6,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-48,1.92958e-02
5,1,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-109,2.49369e-02
6,7,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-81,3.44505e-02
7,0,SOL01371NLB_519216253EDR_F0542784CCAM15900M1-0,4.23503e-02
